snapshot_id,snapshot_date,distributor_id,distributor_name,city,sku_id,product_name,category,current_stock,reorder_level,max_capacity,n_assigned_pharmacies,is_low_stock,is_out_of_stock,month,year
SNAP_000001,2024-01-01,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,41,16,96,2,0,0,1,2024
SNAP_000002,2024-01-08,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,37,16,96,2,0,0,1,2024
SNAP_000003,2024-01-15,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,50,16,96,2,0,0,1,2024
SNAP_000004,2024-01-22,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,26,16,96,2,0,0,1,2024
SNAP_000005,2024-01-29,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,28,16,96,2,0,0,1,2024
SNAP_000006,2024-02-05,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,34,16,96,2,0,0,2,2024
SNAP_000007,2024-02-12,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,31,16,96,2,0,0,2,2024
SNAP_000008,2024-02-19,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,25,16,96,2,0,0,2,2024
SNAP_000009,2024-02-26,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,27,16,96,2,0,0,2,2024
SNAP_000010,2024-03-04,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,51,16,96,2,0,0,3,2024
SNAP_000011,2024-03-11,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,34,16,96,2,0,0,3,2024
SNAP_000012,2024-03-18,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,29,16,96,2,0,0,3,2024
SNAP_000013,2024-03-25,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,30,16,96,2,0,0,3,2024
SNAP_000014,2024-04-01,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,39,16,96,2,0,0,4,2024
SNAP_000015,2024-04-08,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,29,16,96,2,0,0,4,2024
SNAP_000016,2024-04-15,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,33,16,96,2,0,0,4,2024
SNAP_000017,2024-04-22,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,34,16,96,2,0,0,4,2024
SNAP_000018,2024-04-29,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,30,16,96,2,0,0,4,2024
SNAP_000019,2024-05-06,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,31,16,96,2,0,0,5,2024
SNAP_000020,2024-05-13,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,29,16,96,2,0,0,5,2024
SNAP_000021,2024-05-20,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,33,16,96,2,0,0,5,2024
SNAP_000022,2024-05-27,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,60,16,96,2,0,0,5,2024
SNAP_000023,2024-06-03,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,59,16,96,2,0,0,6,2024
SNAP_000024,2024-06-10,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,55,16,96,2,0,0,6,2024
SNAP_000025,2024-06-17,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,20,16,96,2,0,0,6,2024
SNAP_000026,2024-06-24,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,34,16,96,2,0,0,6,2024
SNAP_000027,2024-07-01,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,31,16,96,2,0,0,7,2024
SNAP_000028,2024-07-08,DIST_01,NorthEast Hygiene Distributors,Delhi,SKU_001,Starter Pack with Wet Bag,Starter,19,16,96,2,0,0,7,2024
